COLONIA,LATITUD,LONGITUD,DIRECCION_FORMATEADA,TIPO_UBICACION,PLACE_ID,TIPOS,TIMESTAMP
DEL BOSQUE,29.090942,-110.974554,"Del Bosque, Valle Verde, Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJo-yFKhaEzoYRJCKxwQURc6w,route,2025-11-05T17:38:14.193552
DEL CID RESIDENCIAL,29.1614072,-110.9788125,"Del Cid, 83107 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJDUX3lDyHzoYR-ewcVf8gxsw,route,2025-11-05T17:38:14.549124
DEL RAZO,29.0764067,-110.943585,"Col del Razo, Hermosillo, Son., Mexico",APPROXIMATE,ChIJXZljO66FzoYRrAcJre4XtDk,"political, sublocality, sublocality_level_1",2025-11-05T17:38:14.917341
DILIGENCIAS,29.0066996,-110.9229083,"Las Diligencias, 83296 Hermosillo, Son., Mexico",APPROXIMATE,ChIJlWAYv76azoYRG1L0JQbJtfA,"political, sublocality, sublocality_level_1",2025-11-05T17:38:15.275920
DIVISION DEL NORTE,29.0926115,-110.9830798,"C. del Sol 105, Alameda, 83204 Hermosillo, Son., Mexico",ROOFTOP,ChIJsf0UghCEzoYRqYGDeLNALMI,"establishment, point_of_interest, store",2025-11-05T17:38:15.680753
DUNAS,29.1226222,-111.0154897,"Dunas, Hermosillo, Son., Mexico",APPROXIMATE,ChIJ8fVT3jiBzoYRoXvIJ4X-I_o,"political, sublocality, sublocality_level_1",2025-11-05T17:38:16.052146
ECONATURA,29.1298453,-110.8536262,"Hotel Boutique Econatura, Km 6, Carretera Nogales, Ejido la Victoria, 83303 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJL1E0KSqJzoYRYUqnzs1v0RQ,"establishment, lodging, park, point_of_interest",2025-11-05T17:38:16.440163
EJ. EL TRIUNFITO,28.8413084,-111.4736868,"83344 TRIUNFITO, Nuevo Triunfo, 83344 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJIRCbJcQ_zIYRmSLeIqmnahI,"convenience_store, establishment, food, grocery_or_supermarket, point_of_interest, store",2025-11-05T17:38:16.832089
EJIDO  EL BUEY,29.0404435,-110.9980762,"Ejido el Buey, 83285 Hermosillo, Son., Mexico",APPROXIMATE,ChIJW8_J_p2EzoYRogODPSspkh8,"political, sublocality, sublocality_level_1",2025-11-05T17:38:17.207489
EJIDO CARRILLO MARCOT,29.0569587,-110.9722896,"San Marcos, 83287 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJS9NbjfSEzoYRqrdqPhS5eK0,route,2025-11-05T17:38:17.608027
EJIDO EL CHANATE,29.0523416,-110.9857295,"Ejido, Cerro el Apache, Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJSSzaT4-EzoYR0UQfASpV1JI,route,2025-11-05T17:38:17.983061
EJIDO EL CHOYUDO,28.322222,-111.4527777,"83316 El Choyudo, Sonora, Mexico",APPROXIMATE,ChIJxVJB76H0y4YRTNS8xmh6yYc,"locality, political",2025-11-05T17:38:18.350998
EJIDO EL REALITO,29.0880737,-110.8631152,"83303 El Realito, Son., Mexico",APPROXIMATE,ChIJ4UXN8gSPzoYRw1Yuw1I2Mt4,"locality, political",2025-11-05T17:38:18.723765
EJIDO EL TRIUNFO,29.0976828,-110.932158,"Blvd Francisco, Blvd. Fco. Eusebio Kino 1114, Pitic, 83150 Hermosillo, Son., Mexico",ROOFTOP,ChIJCytgW8OFzoYRiVFIwHaxXMk,"establishment, furniture_store, home_goods_store, point_of_interest, store",2025-11-05T17:38:19.114008
EJIDO EL ZACATON,29.2746412,-110.8485863,"83300 El Zacatón, Sonora, Mexico",APPROXIMATE,ChIJB9JTqqZjzoYRQ8iJ-mtM9zA,"locality, political",2025-11-05T17:38:19.478851
EJIDO LA HABANA,29.0386221,-110.9588372,"Blvd. Agustín de Vildósola 351, Pedregal de la Villa, 83290 Hermosillo, Son., Mexico",ROOFTOP,ChIJvVBYd9yEzoYRxGtnP3GLFDI,"bar, establishment, point_of_interest",2025-11-05T17:38:19.864339
EJIDO LA MANGA,29.0523416,-110.9857295,"Ejido, Cerro el Apache, Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJSSzaT4-EzoYR0UQfASpV1JI,route,2025-11-05T17:38:20.231051
EJIDO LA PEAÑA,29.0283332,-111.0633332,"83310 Severo Moreno, Son., Mexico",APPROXIMATE,ChIJNSBuueOCzoYR85KWQ8dK4gU,"locality, political",2025-11-05T17:38:20.596302
EJIDO LA VICTORIA,29.0523416,-110.9857295,"Ejido, Cerro el Apache, Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJSSzaT4-EzoYR0UQfASpV1JI,route,2025-11-05T17:38:20.969185
EJIDO LAS PLACITAS,29.05620459999999,-111.0147612,"Ovalo de los Valencia, 83287 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJ6zpArweDzoYR1acmfL4e01s,"establishment, point_of_interest",2025-11-05T17:38:21.358067
EJIDO LOS CHOROS,29.1240384,-110.9481721,"Los Tapiros 25, Los Sabinos, 83148 Hermosillo, Son., Mexico",ROOFTOP,ChIJ1arZpyiHzoYRMXqA7JtxrQA,"establishment, lodging, point_of_interest",2025-11-05T17:38:21.729030
EJIDO MESA DE SERI,29.109483,-110.8359203,"83303 Mesa del Seri, Son., Mexico",APPROXIMATE,ChIJa58KQcGOzoYR_IyeBNN5z1s,"locality, political",2025-11-05T17:38:22.100928
EJIDO MINERO DE PILARES,29.097478,-111.0126103,"Mineros de Pilares, 83174 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJd1Wm8uKDzoYRAc6tIehSS-M,route,2025-11-05T17:38:22.474170
EJIDO PLAN DE AYALA,32.2202777,-115.0313888,"Ejido Plan de Ayala, Baja California, Mexico",APPROXIMATE,ChIJscXpOKfJ14ARqOFoBS0eDeM,"locality, political",2025-11-05T17:38:22.868369
EJIDO SAN BARTOLO,29.1472221,-110.7933333,"83303 San Bartolo, Son., Mexico",APPROXIMATE,ChIJp-pDxu-LzoYROGiwQQ1Id5w,"locality, political",2025-11-05T17:38:23.250884
EJIDO ZAMORA,29.26165039999999,-110.88584,"83300 Zamora, Son., Mexico",APPROXIMATE,ChIJRwEjYSRjzoYRksNI6lfSWP4,"locality, political",2025-11-05T17:38:23.638926
EL 33,29.0729673,-110.9559192,"Hermosillo, Sonora, Mexico",APPROXIMATE,ChIJ5a7femiEzoYR-X-I6ZVTPbM,"locality, political",2025-11-05T17:38:23.993241
EL ANTORCHA,29.0489779,-110.9445748,"Provincia Montealegre, Las Lomas, 83293 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJOW3NNQCFzoYRo-55BdKKVI0,"establishment, point_of_interest",2025-11-05T17:38:24.364635
EL APACHE,29.0576889,-110.9797232,"El Apache, 83287 Hermosillo, Son., Mexico",APPROXIMATE,ChIJgzd2gImEzoYRZt1a6nvzsMs,"political, sublocality, sublocality_level_1",2025-11-05T17:38:24.711724
EL BUEY,29.0489779,-110.9445748,"Provincia Montealegre, Las Lomas, 83293 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJOW3NNQCFzoYRo-55BdKKVI0,"establishment, point_of_interest",2025-11-05T17:38:25.058056
EL CAPERUZO,29.1502115,-110.9845666,"Caperuzo, 83105 Hermosillo, Son., Mexico",APPROXIMATE,ChIJCzRzsyeHzoYRfzrBU2WtOAU,"political, sublocality, sublocality_level_1",2025-11-05T17:38:25.439124
EL CHAPARRAL,29.1303731,-111.0147445,"El Chaparral, Hermosillo, Son., Mexico",APPROXIMATE,ChIJPxEtxjyBzoYR4Yf_jo6g_Fc,"political, sublocality, sublocality_level_1",2025-11-05T17:38:25.806246
EL CHATARRAL,29.1303731,-111.0147445,"El Chaparral, Hermosillo, Son., Mexico",APPROXIMATE,ChIJPxEtxjyBzoYR4Yf_jo6g_Fc,"political, sublocality, sublocality_level_1",2025-11-05T17:38:26.167297
EL CHOYUDO,28.322222,-111.4527777,"83316 El Choyudo, Sonora, Mexico",APPROXIMATE,ChIJxVJB76H0y4YRTNS8xmh6yYc,"locality, political",2025-11-05T17:38:26.511922
EL COLOSO,29.0783192,-110.9337662,"Av Ferrocarril 336, Coloso, 83040 Hermosillo, Son., Mexico",ROOFTOP,ChIJG_DNsqSFzoYRw2DFKVm3n4w,"establishment, point_of_interest",2025-11-05T17:38:26.878123
EL COLOSO ALTO,29.086511,-110.9372676,"Circunvalación, Sin Asignación En Nombre de Asentamiento, 83040 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJMTgW0FOFzoYRaQjV8Nf-IKQ,"establishment, point_of_interest, tourist_attraction",2025-11-05T17:38:27.239540
EL CONQUISTADOR,29.0924892,-111.022644,"Blvd. Antonio Quiroga, Sin Asignación En Nombre de Asentamiento, 83224 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJN3EQkt6DzoYR97GGf5DtRMg,"establishment, point_of_interest",2025-11-05T17:38:27.605679
EL CORTIJO,29.17863759999999,-110.8645427,"83303 Hermosillo, Sonora, Mexico",GEOMETRIC_CENTER,ChIJ_XvH8VmJzoYRvV-DyH5hjoQ,"establishment, point_of_interest",2025-11-05T17:38:27.977538
EL CORTIJO PERIODISTA,29.17863759999999,-110.8645427,"83303 Hermosillo, Sonora, Mexico",GEOMETRIC_CENTER,ChIJ_XvH8VmJzoYRvV-DyH5hjoQ,"establishment, point_of_interest",2025-11-05T17:38:28.339493
EL CORTIJO UNISON,29.1429897,-110.984194,"El Cortijo Unison, Hermosillo, Son., Mexico",APPROXIMATE,ChIJMZHGd9mGzoYR9hUWptnnXv0,"political, sublocality, sublocality_level_1",2025-11-05T17:38:28.711362
EL DORADO I,29.1274788,-110.9495459,"El Dorado, Hermosillo, Son., Mexico",APPROXIMATE,ChIJl2SXtmGGzoYRXVPJzZ_AYKI,"political, sublocality, sublocality_level_1",2025-11-05T17:38:29.095355
EL EJIDO LA YESCA,29.0091256,-111.052002,"83310 Campestre Ejido la Yesca, Son., Mexico",APPROXIMATE,ChIJVRfbVimdzoYRh9G7HxIYPeQ,"locality, political",2025-11-05T17:38:29.470442
EL ENCANTO,29.181849,-110.8938134,"83300 El Encanto, Sonora, Mexico",APPROXIMATE,ChIJ21j1eHKIzoYRNgpeHvtAnWc,"locality, political",2025-11-05T17:38:29.842163
EL ESPLENDOR,29.1069668,-111.0285297,"El Esplendor, 83175 Hermosillo, Son., Mexico",APPROXIMATE,ChIJef7r-GWBzoYR9M9_sC2onVY,"neighborhood, political",2025-11-05T17:38:30.219098
EL ESPLENDOR 2,29.1069668,-111.0285297,"El Esplendor, 83175 Hermosillo, Son., Mexico",APPROXIMATE,ChIJef7r-GWBzoYR9M9_sC2onVY,"neighborhood, political",2025-11-05T17:38:30.595870
EL JITO,29.0609072,-110.9514087,"El Jito, Hermosillo, Son., Mexico",APPROXIMATE,ChIJoT1qy_-EzoYRJjgTm7YJ3Dk,"political, sublocality, sublocality_level_1",2025-11-05T17:38:30.963451
EL LLANITO,29.1033819,-111.0218193,"El Llanito, Hermosillo, Son., Mexico",APPROXIMATE,ChIJ5QNNul2BzoYRSiIXGkanMZQ,"political, sublocality, sublocality_level_1",2025-11-05T17:38:31.332518
EL LLANO,29.0976845,-111.021338,"El Llano, Quinta Emilia, 83174 Hermosillo, Son., Mexico",APPROXIMATE,ChIJF2YD91-BzoYRI-WBIeIkJVI,"neighborhood, political",2025-11-05T17:38:31.715742
EL MALECÓN,29.0712618,-110.9666836,"El Malecon, Hermosillo, Son., Mexico",APPROXIMATE,ChIJOaXl8FqEzoYR1r5wHhPyVQM,"political, sublocality, sublocality_level_1",2025-11-05T17:38:32.131760
EL MARIACHI,29.08293909999999,-110.9439576,"El Mariachi, Hermosillo, Son., Mexico",APPROXIMATE,ChIJPQEfl7aFzoYRCYI01aNzUQ0,"political, sublocality, sublocality_level_1",2025-11-05T17:38:32.545445
EL MEZQUITE,29.0418698,-110.9799095,"El Mezquite, 83280 Hermosillo, Son., Mexico",APPROXIMATE,ChIJlXtwGJSEzoYR_-P4vq3DqCU,"political, sublocality, sublocality_level_1",2025-11-05T17:38:32.902035
EL MIRADOR,29.1308698,-111.0210586,"Av. Tezal, El Chaparral, 83179 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJ2VIDrSKBzoYRqKUiIF21NCc,route,2025-11-05T17:38:33.315176
EL NOGAL,28.9998167,-110.919222,"El Nogal, Residencial Gala, 83297 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJX7zpi5aazoYRLZGoJjz1xGc,route,2025-11-05T17:38:33.728342
EL PROGRESO,29.0616218,-110.9545961,"Blvd. Agustín de Vildósola 60, Villa de Seris, 83280 Hermosillo, Son., Mexico",ROOFTOP,ChIJZwjVJvahXRQRoAOexTMMwkc,"bakery, establishment, food, point_of_interest, store",2025-11-05T17:38:34.190236
EL RANCHITO,29.0828271,-110.9275652,"El Ranchito, Hermosillo, Son., Mexico",APPROXIMATE,ChIJyzMO9peFzoYR-54uLMdZSQA,"political, sublocality, sublocality_level_1",2025-11-05T17:38:34.668201
EL REALENGO,28.9965375,-110.9506399,"El Realengo Park, 83296 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJXcL2I6ebzoYRod4DQ0UH4O8,"establishment, park, point_of_interest",2025-11-05T17:38:35.084315
EL RECODO,29.1334544,-111.0260158,"El Recodo, La Campiña, 83116 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJv94mDhmBzoYRpVYQdQgT-I0,route,2025-11-05T17:38:35.541888
EL TAZAJAL,29.143611,-110.8822221,"83304 El Tazajal, Sonora, Mexico",APPROXIMATE,ChIJgT42KZSIzoYRUp1UkySrEE4,"locality, political",2025-11-05T17:38:35.916613
EL TORREON,29.0762213,-110.9799095,"El Torreon, Hermosillo, Son., Mexico",APPROXIMATE,ChIJ8XfuWWmEzoYRMRPbxHW34h8,"political, sublocality, sublocality_level_1",2025-11-05T17:38:36.290009
EL TRIUNFITO,28.8413084,-111.4736868,"83344 TRIUNFITO, Nuevo Triunfo, 83344 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJIRCbJcQ_zIYRmSLeIqmnahI,"convenience_store, establishment, food, grocery_or_supermarket, point_of_interest, store",2025-11-05T17:38:36.639469
EL TRONCONAL,29.176111,-110.8522221,"El Alamito Buenavista, Sonora, Mexico",APPROXIMATE,ChIJ7as3M6yJzoYRpMmxIthQy3Y,"locality, political",2025-11-05T17:38:36.991290
EMILIANO ZAPATA,29.0471234,-110.968363,"Emiliano Zapata, 83280 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJfzHHK-yEzoYRd7xN_X-ykYk,route,2025-11-05T17:38:37.361136
EN LA INVASION 3 REYNAS,29.0204717,-110.9845207,"22F8+4R, 83284 Hermosillo, Sonora, Mexico",GEOMETRIC_CENTER,ChIJ1aWNhXaFzoYRRHN_h-av6i8,"establishment, point_of_interest",2025-11-05T17:38:37.755547
EN LAS PALMITAS,29.0721878,-110.9588598,"Las Palmas, 83270 Hermosillo, Son., Mexico",APPROXIMATE,ChIJI8B3T1CEzoYRiSvTRZoITE4,"political, sublocality, sublocality_level_1",2025-11-05T17:38:38.134242
ENCINOS 2,29.0726685,-110.977092,"Encinos 2, Fuentes del Mezquital, 83240 Hermosillo, Son., Mexico",ROOFTOP,ChIJi23-XWiEzoYRnwBlI07kRkE,"street_address, subpremise",2025-11-05T17:38:38.502890
EQUIPAMIENTO EDUCATIVO,29.04034679999999,-110.9418538,"Horacio 8, Las Lomas, 83293 Hermosillo, Son., Mexico",ROOFTOP,ChIJX8ub_SKFzoYR20MVrBPL1L4,"establishment, point_of_interest",2025-11-05T17:38:38.897454
ESMERALDA,29.0352343,-110.9847828,"Esmeralda, Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJmfz4Fb2EzoYRblyt2zwAtOE,route,2025-11-05T17:38:39.272251
ESMERALDA RESIDENCIAL,29.0352343,-110.9847828,"Esmeralda, Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJmfz4Fb2EzoYRblyt2zwAtOE,route,2025-11-05T17:38:39.653622
ESPERANZA,29.0359972,-110.98342,"Esperanza, 83284 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJm_s0dr2EzoYRTP6bBg4lK4A,route,2025-11-05T17:38:40.040128
ESPLENDOR 3 ETAPA,29.1054908,-111.0314085,"Blvd. Neoclásico, Sin Asignación En Nombre de Asentamiento, 83175 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJsYmzkG-BzoYRVRkNoQH9mqY,"establishment, point_of_interest",2025-11-05T17:38:40.426198
ESPLENDOR TRES,29.1244506,-110.9595562,"C. Tres, Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJl9E00I2GzoYRic1gjkZ-O1s,route,2025-11-05T17:38:40.788074
ESTACION ZAMORA,29.0729673,-110.9559192,"Centro, 83079 Hermosillo, Sonora, Mexico",GEOMETRIC_CENTER,ChIJC62fTQCFzoYRdPOdqFNQuxU,"establishment, point_of_interest",2025-11-05T17:38:41.163061
ESTADIO NUEVO SONORA,29.0733708,-110.9713046,"Av. Dr. Paliza 188, Las Granjas, 83250 Hermosillo, Son., Mexico",ROOFTOP,ChIJR-4q6EKEzoYRHafksxqfZng,"establishment, point_of_interest",2025-11-05T17:38:41.549848
ESTADIO SONORA,29.0628089,-111.0515022,"Avenida Luis Donaldo Colosio 49, La Manga, Blvd. Héctor Espino, La Manga, 83320 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJzc_dO0yCzoYRhBEDaYWMeak,"establishment, point_of_interest, stadium",2025-11-05T17:38:41.923524
ESTANZA,29.0267397,-110.9704164,"De La Estancia, Hacienda Los Alcatraces, 83284 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJT6UMk8iEzoYRzOKDBYrQHkE,route,2025-11-05T17:38:42.299778
ESTANZA FLORECIA,29.0436358,-110.9432526,"Florencia, 83293 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJIQQnrhiFzoYRt7eerI7OtQw,route,2025-11-05T17:38:42.681395
ESTANZA FLORENZA,29.0510214,-110.9910081,"C. Minas Prietas, 83285 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJVUA93_-FzoYRhmYmOwym870,"establishment, point_of_interest",2025-11-05T17:38:43.060997
ESTANZA SECCION TORREALBA,29.1495905,-111.0073451,"Blvrd Agustín F. Zamora 50, Residencial Torralba, Zona Industrial, 83118 Hermosillo, Son., Mexico",ROOFTOP,ChIJgRsuhCaBzoYRSW_EFwlFsEo,"establishment, point_of_interest",2025-11-05T17:38:43.440026
ESTAUS,29.0915074,-110.9957435,"Staus, Hermosillo, Son., Mexico",APPROXIMATE,ChIJh1xstQeEzoYRw_2IjQFkhiI,"political, sublocality, sublocality_level_1",2025-11-05T17:38:43.815900
EUSEBIO KINO,29.1355674,-110.9871745,"Eusebio Kino, Hermosillo, Son., Mexico",APPROXIMATE,ChIJsZpx4s-GzoYRpYb_iEQwIvc,"political, sublocality, sublocality_level_1",2025-11-05T17:38:44.179337
EUSEBIO KINO-ISSSTESON,29.0592549,-110.9637031,"Francisco Eusebio Kino Isssteson, Hermosillo, Son., Mexico",APPROXIMATE,ChIJOxFZc_eEzoYRlPYE2xokR5c,"political, sublocality, sublocality_level_1",2025-11-05T17:38:44.550247
EXT. COLOSIO,29.1278533,-111.0259217,"Colosio, Hermosillo, Son., Mexico",APPROXIMATE,ChIJx7qZGxeBzoYRbJKwr9bXhN8,"political, sublocality, sublocality_level_1",2025-11-05T17:38:44.913045
EXTENCION 4 DE MARZO,29.1512404,-110.9931356,"4 de Marzo, 83105 Hermosillo, Son., Mexico",APPROXIMATE,ChIJ28z4-yuHzoYRIjmkEyTvmRM,"political, sublocality, sublocality_level_1",2025-11-05T17:38:45.288031
FEROCARRILERA,29.0783159,-110.9333992,"Av Ferrocarril, Coloso, 83040 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJ64iZTbuFzoYRBNPVbElC5KQ,route,2025-11-05T17:38:45.693343
FERROCARRILERA,29.0783159,-110.9333992,"Av Ferrocarril, Coloso, 83040 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJ64iZTbuFzoYRBNPVbElC5KQ,route,2025-11-05T17:38:46.050064
FIRENZE,29.1279659,-110.9610839,"Blvd. Santa Cecilia y Santa Mónic a (Detrás de Sam´s Club, Los Cuatro Olivos, 83147 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJq6qqao2GzoYRgoYL7FOaodg,"establishment, point_of_interest, real_estate_agency",2025-11-05T17:38:46.424588
FIRENZE RESIDENCIAL,29.1363856,-110.9588024,"Sta. Monica SN-S CFE, Valle Santa Monica, 83104 Hermosillo, Son., Mexico",ROOFTOP,ChIJB7wX1vOGzoYRdazHqoS8mds,"establishment, point_of_interest",2025-11-05T17:38:46.774713
FLAMINGOS,29.0056306,-110.9299101,"Flamencos 37, Nuevo Hermosillo, 83296 Hermosillo, Son., Mexico",ROOFTOP,ChIJAVQGZACbzoYR0U-w6NigTbY,"establishment, point_of_interest",2025-11-05T17:38:47.161835
FLORENSA RESIDENCIAL,29.0510214,-110.9910081,"C. Minas Prietas, 83285 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJVUA93_-FzoYRhmYmOwym870,"establishment, point_of_interest",2025-11-05T17:38:47.519435
FLORESTA,29.1245712,-111.013684,"Floresta, Villa Sauces, 83179 Hermosillo, Sonora, Mexico",APPROXIMATE,ChIJNVm4DjmBzoYRyEWJbj2Z8gw,"neighborhood, political",2025-11-05T17:38:47.895701
"FLORESTA SECCION ""VILLA CIRUELOS""",29.1245712,-111.013684,"Floresta, Villa Sauces, 83179 Hermosillo, Sonora, Mexico",APPROXIMATE,ChIJNVm4DjmBzoYRyEWJbj2Z8gw,"neighborhood, political",2025-11-05T17:38:48.260069
FLORESTA SECCION CIPRES,29.1245712,-111.013684,"Floresta, Villa Sauces, 83179 Hermosillo, Sonora, Mexico",APPROXIMATE,ChIJNVm4DjmBzoYRyEWJbj2Z8gw,"neighborhood, political",2025-11-05T17:38:48.640533
FLORESTA SECCION SAUCES,29.1245712,-111.013684,"Floresta, Villa Sauces, 83179 Hermosillo, Sonora, Mexico",APPROXIMATE,ChIJNVm4DjmBzoYRyEWJbj2Z8gw,"neighborhood, political",2025-11-05T17:38:49.012385
FLORESTA SECCION VILLA ALMENDRAS,29.1245712,-111.013684,"Floresta, Villa Sauces, 83179 Hermosillo, Sonora, Mexico",APPROXIMATE,ChIJNVm4DjmBzoYRyEWJbj2Z8gw,"neighborhood, political",2025-11-05T17:38:49.389675
FLORESTA VILLA ALMENDRAS,29.1245712,-111.013684,"Floresta, Villa Sauces, 83179 Hermosillo, Sonora, Mexico",APPROXIMATE,ChIJNVm4DjmBzoYRyEWJbj2Z8gw,"neighborhood, political",2025-11-05T17:38:49.761949
FLORESTA VILLA FRESNOS,29.1245712,-111.013684,"Floresta, Villa Sauces, 83179 Hermosillo, Sonora, Mexico",APPROXIMATE,ChIJNVm4DjmBzoYRyEWJbj2Z8gw,"neighborhood, political",2025-11-05T17:38:50.144451
FONAPO,29.1177304,-111.0199605,"Fonapo, Hermosillo, Son., Mexico",APPROXIMATE,ChIJBXc3rUGBzoYRiUMKyoaXieA,"political, sublocality, sublocality_level_1",2025-11-05T17:38:50.527521
FONHAPO,29.1177304,-111.0199605,"Fonapo, Hermosillo, Son., Mexico",APPROXIMATE,ChIJBXc3rUGBzoYRiUMKyoaXieA,"political, sublocality, sublocality_level_1",2025-11-05T17:38:50.863199
FOVISSSTE,29.0596292,-110.9678013,"Fovissste, 83288 Hermosillo, Son., Mexico",APPROXIMATE,ChIJB803Y_aEzoYRJSSPWZw0hzQ,"political, sublocality, sublocality_level_1",2025-11-05T17:38:51.235761
FRAC. TOPACIO,29.0414474,-110.9555898,"Del Topacio, Pedregal de la Villa, 83290 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJcdozHt6EzoYR4AGziS2aAjE,route,2025-11-05T17:38:51.624938
FRACC HACIENDAS,29.0858929,-110.9837002,"P.º de La Herradura Ote. 11, Rincon de la Herradura, 83200 Hermosillo, Son., Mexico",ROOFTOP,ChIJNcmKGACFzoYRajPpzQPO9Ds,"establishment, point_of_interest",2025-11-05T17:38:51.989394
FRACC SANTA CLARA,29.0858929,-110.9837002,"P.º de La Herradura Ote. 11, Rincon de la Herradura, 83200 Hermosillo, Son., Mexico",ROOFTOP,ChIJNcmKGACFzoYRajPpzQPO9Ds,"establishment, point_of_interest",2025-11-05T17:38:52.343851
FRACC SEDONA,29.0858929,-110.9837002,"P.º de La Herradura Ote. 11, Rincon de la Herradura, 83200 Hermosillo, Son., Mexico",ROOFTOP,ChIJNcmKGACFzoYRajPpzQPO9Ds,"establishment, point_of_interest",2025-11-05T17:38:52.727327
FRACC. CANTERAS,29.0858929,-110.9837002,"P.º de La Herradura Ote. 11, Rincon de la Herradura, 83200 Hermosillo, Son., Mexico",ROOFTOP,ChIJNcmKGACFzoYRajPpzQPO9Ds,"establishment, point_of_interest",2025-11-05T17:38:53.101144
FRACC. CARDENO RESIDENCIAL,29.1573596,-110.9712538,"C. Reyes Nte., Cárdeno Residencial, 83114 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJrWJZwR2HzoYRUS2vn5zhifI,"establishment, general_contractor, point_of_interest",2025-11-05T17:38:53.469899
FRACC. DE LA CAPILLA,29.091688,-110.9656118,"Av. Tamaulipas 134, San Benito, 83190 Hermosillo, Son., Mexico",ROOFTOP,ChIJHzdJszuEzoYRoec7ybuymbY,"establishment, food, point_of_interest, restaurant",2025-11-05T17:38:53.844750
FRACC. ESTANZA FLORENZA,29.0510214,-110.9910081,"C. Minas Prietas, 83285 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJVUA93_-FzoYRhmYmOwym870,"establishment, point_of_interest",2025-11-05T17:38:54.206435
FRACC. LA CAÑADA,29.1005443,-111.0273126,"La Cañada, Casa Bonita Residencial, 83175 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJWbgAamGBzoYRg4yYqAXP8hM,route,2025-11-05T17:38:54.583923
FRACC. PASEO DEL CID,29.1614072,-110.9788125,"Del Cid, 83107 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJDUX3lDyHzoYR-ewcVf8gxsw,route,2025-11-05T17:38:54.935843
FRACC. RETORNO DE LA MISION,29.1498128,-110.9681931,"Rtno. de la Misión, 83114 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJqbBF-OGGzoYREnXbIjjqscQ,route,2025-11-05T17:38:55.325305
FRACC. URBI VILLA DEL CEDRO,29.1659685,-110.9835463,"Alfilerillo 12, 83107 Hermosillo, Son., Mexico",ROOFTOP,ChIJqZsioDmHzoYR9xC-JIHPuQg,"establishment, point_of_interest",2025-11-05T17:38:55.727193
FRACC. URBIVILLA CAMPESTRE,29.0858929,-110.9837002,"P.º de La Herradura Ote. 11, Rincon de la Herradura, 83200 Hermosillo, Son., Mexico",ROOFTOP,ChIJNcmKGACFzoYRajPpzQPO9Ds,"establishment, point_of_interest",2025-11-05T17:38:56.108418
FRACC. VILLAS ROMANZA,29.155578,-110.9982904,"Av. Villas de Romanza, Fraccionamiento Villas de Romanza, 83117 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJaxCctNKAzoYRkrJf7Nqjcv8,route,2025-11-05T17:38:56.492419
