COLONIA_ORIGINAL,COLONIA_NORMALIZADA
LA ANTORCHA CAMPESINA,ANTORCHA CAMPESINA
LA CAMPANA,LA CAMPANA
LA CAMPINA,LA CAMPIÑA
LA CAMPINA SECC GIRASOLES,LA CAMPINA SECC GIRASOLES
LA CAMPINA SECCION GIRASOLES,LA CAMPINA SECC GIRASOLES
LA CAMPIÑA,LA CAMPIÑA
LA CARIDAD,LA CARIDAD
LA CAÑADA,LA CAÑADA
LA CHOLLA,LA CHOLLA
LA CIMA,LA CIMA
LA CIMA SECCION II,LA CIMA SECCION II
LA CIMA2,LA CIMA2
LA COLLA,LA COLLA
LA CORUÑA RESIDENCIAL,LA CORUÑA RESIDENCIAL
LA COSECHA,LA COSECHA
LA CUATRO OLIVOS,LA CUATRO OLIVOS
LA ENCANTADA,LA ENCANTADA
LA FLORESTA SECC CEIBA,LA FLORESTA SECC CEIBA
LA FLORESTA SECC VILLA FRESNOS,LA FLORESTA SECC VILLA FRESNOS
LA GRANJA LOPEZ,LA GRANJA LOPEZ
LA HANTORCHA,LA HANTORCHA
LA HERRADURA,LA HERRADURA
LA HUERTA,LA HUERTA
LA INTERNACIONAL,LA INTERNACIONAL
LA JOYA,LA JOYA
LA JOYA I VILLAS DE LOS ZAFIROS,LA JOYA I VILLAS DE LOS ZAFIROS
LA JOYA VILLA DE LAS ESMERALDAS,LA JOYA VILLA DE LAS ESMERALDAS
LA JOYA VILLA DE LOS DIAMANTES,LA JOYA VILLA DE LOS DIAMANTES
LA LENGÜETA,LA LENGÜETA
LA MANGA,LA MANGA
LA MARQUEZA,LA MARQUEZA
LA MATANZA,LA MATANZA
LA METALERA,LA METALERA
LA MINITAS,LAS MINITAS
LA MOSCA,LA MOSCA
LA NUEVA VICTORIA,NUEVA VICTORIA
LA PALOMA RESIDENCIAL 4,LA PALOMA RESIDENCIAL 4
LA PALOMA RESIDENCIAL I,LA PALOMA RESIDENCIAL I
LA PALOMA RESIDENCIAL II,LA PALOMA RESIDENCIAL II
LA PONDEROSA,LA PONDEROSA
LA RIOJA,LA RIOJA
LA RIOJA NORTE,LA RIOJA NORTE
LA VEBENA,LA VEBENA
LA VENTANA,LA VENTANA
LA VENTANA SECC. LA REJA,LA VENTANA SECC. LA REJA
LA VERBENA,LA VERBENA
LA VERBENEA,LA VERBENEA
LA VICTORIA,LA VICTORIA
LA VICTORIA COLONIA PUNTA BELLA,LA VICTORIA COLONIA PUNTA BELLA
LA YESCA,LA YESCA
LADRILLERA,LADRILLERA
LAS AVES,LAS AVES
LAS CARRETAS,LAS CARRETAS
LAS COLINAS,LAS COLINAS
LAS COSECHAS,LAS COSECHAS
LAS CUEVITAS,LAS CUEVITAS
LAS DILIGENCIAS,LAS DILIGENCIAS
LAS FLORES,LAS FLORES
LAS GLORIAS,LAS GLORIAS
LAS GRANJAS,LAS GRANJAS
LAS HACIENDAS,LAS HACIENDAS
LAS HACIENDAS RESIDENCIAL,LAS HACIENDAS RESIDENCIAL
LAS ISABELES,LAS ISABELES
LAS L OMAS,LAS L OMAS
LAS LADRILLERAS,LAS LADRILLERAS
LAS LOMAS,LAS LOMAS
LAS LOMAS DE CORTES,LAS LOMAS DE CORTES
LAS LOMAS DE PITIC,LAS LOMAS DEL PITIC
LAS LOMAS DEL MIRADOR,LAS LOMAS DEL MIRADOR
LAS LOMAS DEL PITIC,LAS LOMAS DEL PITIC
LAS LOMAS DEL SOL,LAS LOMAS DEL SOL
LAS LOMAS DEL SUR,LAS LOMAS DEL SUR
LAS LOMAS DUMAS,LAS LOMAS DUMAS
LAS LOMAS ETAPA 2,LAS LOMAS ETAPA 2
LAS LOMAS PRIVADA DEL BOSQUE,LAS LOMAS PRIVADA DEL BOSQUE
LAS LOMAS PRIVADA LAS LOMAS,LAS LOMAS PRIVADA LAS LOMAS
LAS LOMAS SECC BONITA,LAS LOMAS SECC BONITA
LAS LOMAS SECC BONITA 1,LAS LOMAS SECC BONITA 1
LAS LOMAS SECC CASTANOS,LAS LOMAS SECC CASTANOS
LAS LOMAS SECC CASTAÑOS,LAS LOMAS SECC CASTANOS
LAS LOMAS SECC. SEC,LAS LOMAS SECC. SEC
LAS LOMAS SECCION BONITA 2,LAS LOMAS SECCION BONITA 2
LAS LOMAS SECCION LOS MANZANOS,LAS LOMAS SECCIÓN LOS MANZANOS
LAS LOMAS SECCIÓN BONITA,LAS LOMAS SECCIÓN BONITA
LAS LOMAS SECCIÓN EL PARAÍSO,LAS LOMAS SECCIÓN EL PARAÍSO
LAS LOMAS SECCIÓN LOS MANZANOS,LAS LOMAS SECCIÓN LOS MANZANOS
LAS LOMAS SECCIÓN SEC,LAS LOMAS SECCIÓN SEC
LAS MINITAS,LAS MINITAS
LAS PALMAS,LAS PALMAS
LAS PEREDAS,LAS PEREDAS
LAS PEREDAS 2,LAS PEREDAS 2
LAS PICHONERAS,LAS PICHONERAS
LAS PILAS,LAS PILAS
LAS PLACITAS,LAS PLACITAS
LAS PLACITAS SECC. II,LAS PLACITAS SECC. II
LAS PLAZAS,LAS PLAZAS
LAS PRADERAS,LAS PRADERAS
LAS PRADERAS DEL VALLE,PRADERAS DEL VALLE
LAS PRADERAS IV,LAS PRADERAS IV
LAS PRADERAS NORTE,LAS PRADERAS NORTE
LAS PRADERAS SUR,LAS PRADERAS SUR
LAS PROVINCIAS,LAS PROVINCIAS
LAS PROVINCIAS SECC. SALAMANCA,LAS PROVINCIAS SECC. SALAMANCA
LAS PÉREDAS,LAS PEREDAS
LAS QUINTAS,LAS QUINTAS
LAS TORRES,LAS TORRES
LAS TRES REYNAS,LAS TRES REYNAS
LAS VEREDAS,LAS VEREDAS
LAS VILLAS,LAS VILLAS
LAS VISTA,LAS VISTA
LAS VISTAS,LAS VISTAS
LASLOMAS,LASLOMAS
LAURA ALICIA FRIAS DE LOPEZ NOGALES,LAURA ALICIA FRÍAS DE LOPEZ NOGALES
LAURA ALICIA FRÍAS DE LOPEZ NOGALES,LAURA ALICIA FRÍAS DE LOPEZ NOGALES
LEY 57,LEY 57
LIBERTAD,LIBERTAD
LIBRAMIENTO,LIBRAMIENTO
LIRIOS,LIRIOS
LIRIOS II,LIRIOS II
LLANO,LLANO
LLANO VERDE,LLANO VERDE
LO OLIVOS,LOS OLIVOS
LOMA BLANCA,LOMA BLANCA
LOMA LINDA,LOMA LINDA
LOMA LINDA \ KINO VIEJO,LOMA LINDA \ KINO VIEJO
LOMAS ALTAS,LOMAS ALTAS
LOMAS ALTAS PERIFERIA,LOMAS ALTAS PERIFERIA
LOMAS DE CORTEZ,LOMAS DE CORTEZ
LOMAS DE HERMOSILLO,LOMAS DE HERMOSILLO
LOMAS DE KINO,LOMAS DE KINO
LOMAS DE LINDAVISTA,LOMAS DE LINDAVISTA
LOMAS DE MADRID,LOMAS DE MADRID
LOMAS DE REFORMA,LOMAS DE REFORMA
LOMAS DE SAN GERMAN,LOMAS DE SAN GERMAN
LOMAS DEL NORTE Y PARAISO,LOMAS DEL NORTE Y PARAISO
LOMAS DEL PARQUE,LOMAS DEL PARQUE
LOMAS DEL PITIC,LOMAS DEL PITIC
LOMAS DEL RUR,LOMAS DEL SUR
LOMAS DEL SUR,LOMAS DEL SUR
LOPEZ PORTILLO,LÓPEZ PORTILLO
LOPEZ PÓRTILLO,LÓPEZ PORTILLO
LOPEZS RIESGO,LOPEZS RIESGO
LORETO,LORETO
LORETO RESIDENCIAL,LORETO RESIDENCIAL
LOS ALAMOS,LOS ÁLAMOS
LOS ALTOS,LOS ALTOS
LOS ANGELES,LOS ANGELES
LOS ARCOS,LOS ARCOS
LOS ARROYOS,LOS ARROYOS
LOS ARROYOS II,LOS ARROYOS II
LOS ATARDECERES,LOS ATARDECERES
LOS CHOROS,LOS CHOROS
LOS CIRIOS,LOS CIRIOS
LOS ENCINOS,LOS ENCINOS
LOS ENCINOS I ETAPA III,LOS ENCINOS I ETAPA III
LOS ENCINOS RESIDENCIAL,LOS ENCINOS RESIDENCIAL
LOS FRESNOS,LOS FRESNOS
LOS IGUALADOS,LOS IGUALADOS
LOS JARDINES,LOS JARDINES
LOS LAGOS,LOS LAGOS
LOS LAGOS SECC. LAGO ESCONDIDO,LOS LAGOS SECC. LAGO ESCONDIDO
LOS LIRIOS,LOS LIRIOS
LOS LIRIOS INV. TEPITO,LOS LIRIOS INV. TEPITO
LOS LOMAS,LOS LOMAS
LOS MANANTIALES,LOS MANANTIALES
LOS MIRASOLES,LOS MIRASOLES
LOS MISIONEROS,LOS MISIONEROS
LOS NARANJOS,LOS NARANJOS
LOS OLIVOS,LOS OLIVOS
LOS PINOS CAMPESTRE,LOS PINOS CAMPESTRE
LOS PINOS RESIDENCIAL,LOS PINOS RESIDENCIAL
LOS POLVORINES,LOS POLVORINES
LOS PORTALES,LOS PORTALES
LOS ROSALES,LOS ROSALES
LOS SABINOS,LOS SABINOS
LOS SAUCES,LOS SAUCES
LOS TULIPANES,LOS TULIPANES
LOS VINEDOS,LOS VINEDOS
LOS VIÑEDOS I,LOS VIÑEDOS I
LOS ÁLAMOS,LOS ÁLAMOS
LOSOLIVOS,LOSOLIVOS
LOTE BALDIO,LOTE BALDIO
LUIS DONALDO COLOSIO,LUIS DONALDO COLOSIO
LUIS ENCINAS,LUIS ENCINAS
LUZ VALENCIA,LUZ VALENCIA
LÓPEZ PORTILLO,LÓPEZ PORTILLO
MACHI LOPEZ,MACHI LOPEZ
MAGISTERIAL,MAGISTERIAL
MALECON,MALECON
MALLORCA RESIDENCIAL,MALLORCA RESIDENCIAL
MANUEL GOMEZ MORIN,MANUEL GÓMEZ MORIN
MANUEL GÓMEZ MORIN,MANUEL GÓMEZ MORIN
MARGARITAS OLIVOS,MARGARITAS OLIVOS
MARIN PARAISO,MARIN PARAISO
MARQUESA,MARQUESA
MARSELLA RESID.,MARSELLA RESID.
MARTIRES DE CANANEA,MÁRTIRES DE CANANEA
MAYORCA,MAYORCA
MEDITERRANEO,MEDITERRANEO
MEDITERRÁNEO RESIDENCIAL,MEDITERRÁNEO RESIDENCIAL
MEGACENTRO,MEGACENTRO
MERLOT,MERLOT
MESA DEL SERI,MESA DEL SERI
MESA VERDE,MESA VERDE
MESA VERDE RESIDENCIAL,MESA VERDE RESIDENCIAL
METALERA,METALERA
MEZQUITAL DEL ORO,MEZQUITAL DEL ORO
MICROPARQUE INDUSTRIAL,MICROPARQUE INDUSTRIAL
MICROPARQUE INDUSTRIAL NORTE,PARQUE INDUSTRIAL NORTE
MIGUEL ALEMAN,MIGUEL ALEMAN
MIGUEL ALEMAN (LA DOCE),MIGUEL ALEMAN (LA DOCE)
MIGUEL ANGEL JIMENEZ,MIGUEL ANGEL JIMENEZ
MIGUEL HIDALGO,MIGUEL HIDALGO
MIGUEL VALDEZ,MIGUEL VALDEZ
MIGUEL VALENCIA,MIGUEL VALENCIA
MILAN,MILAN
MILLAN RESIDENCIAL.,MILLAN RESIDENCIAL.
MILÁN,MILAN
MIRADOR,MIRADOR
MIRADOR DEL BACHOCO,MIRADOR DEL BACHOCO
MIRAMONTES,MIRAMONTES
MISION DE ANDALUCIA,MISION DE ANDALUCIA
MISION DE ANDALUCIA RES,MISION DE ANDALUCIA
MISION DEL SOL,MISIÓN DEL SOL
MISIONEROS,MISIONEROS
MISIÓN DEL ARCO,MISIÓN DEL ARCO
MISIÓN DEL REAL,MISIÓN DEL REAL
MISIÓN DEL SOL,MISIÓN DEL SOL
MISIÓN SAN IGNACIO,MISIÓN SAN IGNACIO
MISIÓN SAN JERÓNIMO,MISIÓN SAN JERÓNIMO
MISSION,MISSION
MIXCOAC,MIXCOAC
MODELO,MODELO
MODELO CENTRO,MODELO CENTRO
MODELO CENTRO (GUAYMAS J. SIERRA),MODELO CENTRO (GUAYMAS J. SIERRA)
MODELO NORTE,MODELO NORTE
MODELO RETORNOS,MODELO RETORNOS
MODELO SUR RETORNOS,MODELO SUR RETORNOS
MOLINO DE CAMOU,MOLINO DE CAMOU
MONACO PRIVADAS,MONACO PRIVADAS
MONACO PRIVADAS RESIDENCIALES,MONACO PRIVADAS RESIDENCIALES
MONTALBAN O CANTERAS,MONTALBAN O CANTERAS
MONTALBAN RESIDENCIAL,MONTEALBAN RESIDENCIAL
MONTE ALBAN SECC. 2,MONTE ALBAN SECC. 2
MONTE BELLO RESIDENCIAL,MONTEBELLO RESIDENCIAL
MONTE CARLO,MONTE CARLO
MONTE ELENA,MONTE ELENA
MONTE REAL,MONTE REAL
MONTE SERENO,MONTE SERENO
MONTEALBAN RESIDENCIAL,MONTEALBAN RESIDENCIAL
MONTEBELLO RESIDENCIAL,MONTEBELLO RESIDENCIAL
MONTECARLO,MONTECARLO
MONTECARLOS,MONTECARLOS
MONTEROSA,MONTEROSA
MORELOS,MORELOS
MURAN,MURAN
MURANO,MURANO
MURANO RESIDENCIAL,MURANO RESIDENCIAL
MÁRTIRES DE CANANEA,MÁRTIRES DE CANANEA
MÓNACO PRIVADA RESIDENCIAL,MONACO PRIVADAS RESIDENCIALES
NACAMERI,NACAMERI
NAPOLES,NAPOLES
NATURA,NATURA
NAVARRETE,NAVARRETE
NAZAREO RESIDENCIAL,NAZAREO RESIDENCIAL
NORBERTO ORTEGA,NORBERTO ORTEGA
NUEVA CASTILLA,NUEVA CASTILLA
NUEVA ESPAÑA,NUEVA ESPAÑA
NUEVA ESPERANZA,NUEVA ESPERANZA
NUEVA GALICIA,NUEVA GALICIA
NUEVA ILUSION,NUEVA ILUSION
NUEVA PALMIRA,NUEVA PALMIRA
NUEVA PROVINCIA,NUEVA PROVINCIA
NUEVA VICTORIA,NUEVA VICTORIA
NUEVA VILLA SUREÑA,NUEVA VILLA SUREÑA
NUEVO AMANECER,NUEVO AMANECER
NUEVO DESIERTO,NUEVO DESIERTO
NUEVO HERMAOSILLO,NUEVO HERMOSILLO
NUEVO HERMOSILLO,NUEVO HERMOSILLO
NUEVO HORIZONTE,NUEVO HORIZONTE
NUEVO MEXICO,NUEVO MEXICO
NUEVO POROGRESO,NUEVO PROGRESO
NUEVO PROGRESO,NUEVO PROGRESO
NUEVO SAHUARO,NUEVO SAHUARO
NUEVO SONORA\MIGUEL ALEMAN (LA DOCE),NUEVO SONORA\MIGUEL ALEMAN (LA DOCE)
NUUEVA ESPERANZA.,NUUEVA ESPERANZA.
OASIS,OASIS
OASIS  MONTE REAL,OASIS  MONTE REAL
OASIS DEL PINACATE,OASIS DEL PINACATE
OASIS DEL SOL,OASIS DEL SOL
OASIS LANTANA,OASIS LANTANA
OASIS MESA VERDE,OASIS MESA VERDE
OASIS MIRAMONTES,OASIS MIRAMONTES
OASIS MONTE REAL,OASIS  MONTE REAL
OASIS MONTEREAL,OASIS  MONTE REAL
OASIS MONTERREAL,OASIS  MONTE REAL
OASIS PALMEIRA,OASIS PALMEIRA
OASIS PINACATE,OASIS PINACATE
OASIS SANTA FE,OASIS SANTA FE
OASIS SECC PINACATE,OASIS SECC PINACATE
OASIS SOLANA,OASIS SOLANA
OASIS SOLERA,OASIS SOLERA
OBISPOS RESIDENCIAL,OBISPOS RESIDENCIAL
OFICINAS FEDERALES,OFICINAS FEDERALES
OLIVARES,OLIVARES
OLOS OLIVOS,LOS OLIVOS
OPATAS,OPATAS
P. INDUSTRIAL,P. INDUSTRIAL
P. INDUSTRIAL DYNATECH,P. INDUSTRIAL DYNATECH
P. INDUSTRIAL LA LABOR,P. INDUSTRIAL LA LABOR
PALERMO,PALERMO
PALERMO RESIDENCIAL,PALERMO RESIDENCIAL
PALERMO SECCION FERRARA,PALERMO SECCION FERRARA
PALMA DORADA,PALMA DORADA
PALMAR DEL SOL,PALMAR DEL SOL
PALO FIERRO,PALO FIERRO
PALO VERDE,PALO VERDE
PALO VERDE FINAL,PALO VERDE FINAL
PALO VERDE INDEUR LOS OLIVOS,PALO VERDE INDEUR LOS OLIVOS
PALO VERDE LOS OLIVOS,PALO VERDE LOS OLIVOS
PALO VERDE NORTE,PALO VERDE NORTE
PALO VERDE SUR,PALO VERDE SUR
PALOMA RESIDENCIAL,PALOMA RESIDENCIAL
PALOVERDE INDEUR LOS OLIVOS,PALO VERDE INDEUR LOS OLIVOS
PAQUE CENTRAL,PARQUE CENTRAL
PARQUE CENTRAL,PARQUE CENTRAL
PARQUE INDUSTRIAL,PARQUE INDUSTRIAL
PARQUE INDUSTRIAL DAMOSA,PARQUE INDUSTRIAL DAMOSA
PARQUE INDUSTRIAL HERMOSILLO,PARQUE INDUSTRIAL HERMOSILLO
PARQUE INDUSTRIAL LATITUDE,PARQUE INDUSTRIAL LATITUDE
PARQUE INDUSTRIAL MONTE ALBAN,PARQUE INDUSTRIAL MONTE ALBAN
PARQUE INDUSTRIAL NORTE,PARQUE INDUSTRIAL NORTE
PARQUE INDUSTRIAL PIMEX,PARQUE INDUSTRIAL PIMEX
PARQUE INDUSTRIAL SONORA,PARQUE INDUSTRIAL SONORA
PARQUE MADERO,PARQUE MADERO
PARQUE MADERO NORTE,PARQUE MADERO NORTE
PARQUE VERSALLES RESID.,PARQUE VERSALLES RESID.
PASEO CASA BLANCA,PASEO CASA BLANCA
PASEO DE LA COLINA I,PASEO DE LA COLINA I
PASEO DE LAS MARGARITAS,PASEO DE LAS MARGARITAS
PASEO DE LAS MISIONES,PASEO DE LAS MISIONES
PASEO DE LAS RIVIERAS,PASEO DE LAS RIVIERAS
PASEO DE PALMAS,PASEO DE PALMAS
PASEO DEL CID,PASEO DEL CID
PASEO DEL CID RESIDENCIAL,PASEO DEL CID RESIDENCIAL
PASEO DEL PALMAR,PASEO DEL PALMAR
PASEO DEL PEDREGAL,PASEO DEL PEDREGAL
PASEO DEL SOL,PASEO DEL SOL
PASEO LAS LOMAS,PASEO LAS LOMAS
PASEO REAL,PASEO REAL
PASEO REAL RESIDENCIAL,PASEO REAL RESIDENCIAL
PASEO SAN ANGEL,PASEO SAN ANGEL
PASEO SAN ANGEL II SECC. CERRADA LAS PLACITAS,PASEO SAN ANGEL II SECC. CERRADA LAS PLACITAS
PASEO SAN ANGEL II SECC. LOS ALAMOS,PASEO SAN ANGEL II SECC. LOS ALAMOS
"PASEO SAN ÁNGEL SECCIÓN LAS PLACITAS II,III, IV, V","PASEO SAN ÁNGEL SECCIÓN LAS PLACITAS II,III, IV, V"
PASEODEL PEDREGAL,PASEO DEL PEDREGAL
PASEOS DE ROMANZA,PASEOS DE ROMANZA
PASEOS DEL PEDREGAL SECC. DIAMANTE,PASEOS DEL PEDREGAL SECC. DIAMANTE
PEDREGAL DE LA VILLA,PEDREGAL DE LA VILLA
PEMEX,PEMEX
PERIFERICO SUR,PERIFERICO SUR
PERIODISTA,PERIODISTA
PERISUR,PERISUR
PESQUEIRA,PESQUEIRA
PIE DE CASAS LAS MINITAS,PIE DE CASAS LAS MINITAS
PILARES,PILARES
PIMENTEL,PIMENTEL
PITIC,PITIC
"PLACITAS , EN EL EJIDO LAS PLACITAS","PLACITAS , EN EL EJIDO LAS PLACITAS"
PLATINO,PLATINO
PLAZA DE LAS FRANQUICIAS,PLAZA DE LAS FRANQUICIAS
PLAZA GRANDE,PLAZA GRANDE
PLAZA REAL,PLAZA REAL
PLAZA SENDERO,PLAZA SENDERO
PLUTARCO ELIAS,PLUTARCO ELIAS
PLUTARCO ELIAS CALLES,PLUTARCO ELIAS CALLES
POPULAR,POPULAR
PORTAL DE ROMANZA,PORTAL DE ROMANZA
PORTAL DEL LAGO,PORTAL DEL LAGO
PORTAL DEL PITIC,PORTAL DEL PITIC
PORTON DEL ARCO,PORTON DEL ARCO
POTRERO DE BUSHARD,POTRERO DE BUSHARD
PRADERAS,PRADERAS
PRADERAS DEL REAL,PRADERAS DEL REAL
PRADERAS DEL SOL,PRADERAS DEL SOL
PRADERAS DEL VALLE,PRADERAS DEL VALLE
PRADOS DE BUGAMBILIAS,PRADOS DE BUGAMBILIAS
PRADOS DEL CENTENARIO,PRADOS DEL CENTENARIO
PRADOS DEL SOL,PRADOS DEL SOL
PREDIO GUADALUPE,PREDIO GUADALUPE
PRESIDENCIAL PENASCO,RESIDENCIAL PEÑASCO
PRIMAVERA,PRIMAVERA
PRIMAVERA\KINO VIEJO,PRIMAVERA\KINO VIEJO
PRIMERO HERMOSILLO,PRIMERO HERMOSILLO
PRIV. CASA BLANCA,PRIV. CASA BLANCA
PRIV. SAN GERMAN,PRIV. SAN GERMAN
PRIVADA CARDENO RESIDENCIAL,PRIVADA CARDENO RESIDENCIAL
PRIVADA CORDOVA,PRIVADA CORDOVA
PRIVADA DE SAUCE,PRIVADAS DEL SAUCE
PRIVADA DEL MIRADOR I,PRIVADA DEL MIRADOR I
PRIVADA DEL REAL,PRIVADAS DEL REAL
PRIVADA PALO VERDE,PRIVADA PALO VERDE
PRIVADA QUINTA EMILIA,PRIVADA QUINTA EMILIA
PRIVADA RESIDENCIAL DEL PEDREGAL,PRIVADA RESIDENCIAL DEL PEDREGAL
PRIVADA ROBLES,PRIVADA ROBLES
PRIVADA ROSALES,PRIVADA ROSALES
PRIVADA SAN LORENZO,PRIVADA SAN LORENZO
PRIVADA SANTA LUCIA,PRIVADA SANTA LUCIA
PRIVADA SANTA ROSA,PRIVADA SANTA ROSA
PRIVADA SATURNINO CAMPOY,PRIVADA SATURNINO CAMPOY
PRIVADA UNIVERSIDAD,PRIVADA UNIVERSIDAD
PRIVADA VICTORIA,PRIVADA VICTORIA
PRIVADAS DE REY,PRIVADAS DEL REY
PRIVADAS DE SAN LORENZO,PRIVADA SAN LORENZO
PRIVADAS DEL BOSQUE,PRIVADAS DEL BOSQUE
PRIVADAS DEL MIRADOR,PRIVADAS DEL MIRADOR
PRIVADAS DEL MIRADOR 2,PRIVADAS DEL MIRADOR 2
PRIVADAS DEL REAL,PRIVADAS DEL REAL
PRIVADAS DEL REAL II,PRIVADAS DEL REAL II
PRIVADAS DEL REAL SUR,PRIVADAS DEL REAL SUR
PRIVADAS DEL REY,PRIVADAS DEL REY
PRIVADAS DEL REY VII ETAPA,PRIVADAS DEL REY VII ETAPA
PRIVADAS DEL SAUCE,PRIVADAS DEL SAUCE
PROGRESISTA,PROGRESISTA
PROGRESO\BAHIA DE KINO,PROGRESO\BAHIA DE KINO
PROLONGACION LOS OLIVOS,PROLONGACION LOS OLIVOS
PROYECTO RIO SONORA,PROYECTO RIO SONORA
PROYECTO RIO SONORA HERMOSILLO XXI,PROYECTO RIO SONORA HERMOSILLO XXI
PUBLITOS,PUBLITOS
PUEBLITOS,PUEBLITOS
PUEBLITOS CERRADA GUARIJIOS,PUEBLITOS CERRADA GUARIJIOS
PUEBLITOS SECC PAPAGOS,PUEBLITOS SECC PAPAGOS
PUEBLO ALEGRE,PUEBLO ALEGRE
PUEBLO ALTO,PUEBLO ALTO
PUEBLO BONITO,PUEBLO BONITO
PUEBLO DE ALAMOS,PUEBLO DE ALAMOS
PUEBLO DE ORO,PUEBLO DE ORO
PUEBLO DEL ANGEL,PUEBLO DEL ÁNGEL
PUEBLO DEL SOL,PUEBLO DEL SOL
PUEBLO DEL SOL SECC ANDINA,PUEBLO DEL SOL SECC ANDINA
PUEBLO DEL SOL SECC. ALBINA,PUEBLO DEL SOL SECC. ALBINA
PUEBLO DEL ÁNGEL,PUEBLO DEL ÁNGEL
PUEBLO ESCONDIDO,PUEBLO ESCONDIDO
PUEBLO GRANDE,PUEBLO GRANDE
PUEBLO NUEVO,PUEBLO NUEVO
PUERAT DEL REY,PUERAT DEL REY
PUERAT REAL,PUERTA REAL
PUERTA DE HIERRO,PUERTA DE HIERRO
PUERTA DEL REAL,PUERTA DEL REAL
PUERTA DEL REY,PUERTA DEL REY
PUERTA DEL REY ALCALA,PUERTA DEL REY ALCALA
PUERTA DEL REY ETAPA VI,PUERTA DEL REY ETAPA VI
PUERTA DEL REY SECC 3,PUERTA DEL REY SECC 3
PUERTA DEL REY SECC. ALTADENA,PUERTA DEL REY SECC. ALTADENA
PUERTA DEL REY SECC. CALAFIA,PUERTA DEL REY SECC. CALAFIA
PUERTA DEL REY SECC. CUEVA,PUERTA DEL REY SECC. CUEVA
PUERTA DEL REY SECC. CUEVAS,PUERTA DEL REY SECC. CUEVAS
PUERTA DEL REY SECC. GALICIA,PUERTA DEL REY SECC. GALICIA
PUERTA DEL REY SECC: CASTILLA,PUERTA DEL REY SECC: CASTILLA
PUERTA DEL REY SECCION ALCADENA,PUERTA DEL REY SECCION ALCADENA
PUERTA DEL REY SECCION CORDOVA,PUERTA DEL REY SECCION CORDOVA
PUERTA DEL REY SEGUNDA ETAPA,PUERTA DEL REY SEGUNDA ETAPA
PUERTA DEL SOL,PUESTA DEL SOL
PUERTA EL REY,PUERTA DEL REY
PUERTA ESMERALDA,PUERTA ESMERALDA
PUERTA GRANDE,PUERTA GRANDE
PUERTA REAL,PUERTA REAL
PUERTA REAL RESIDENCIAL 8A ETAPA,PUERTA REAL RESIDENCIAL 8A ETAPA
"PUERTA REAL RESIDENCIAL II, III, IV, V, VI,VII","PUERTA REAL RESIDENCIAL II, III, IV, V, VI,VII"
PUERTA REAL RESIDENCIAL IV,PUERTA REAL RESIDENCIAL IV
PUERTA REAL RESIDENCIAL SECC. CORDOVA,PUERTA REAL RESIDENCIAL SECC. CORDOVA
PUERTA REAL RESIDENCIAL V,PUERTA REAL RESIDENCIAL V
PUERTA REAL RESIDENCIAL VII ETAPA,PUERTA REAL RESIDENCIAL 8A ETAPA
PUERTA REAL RESIDENCIAL X,PUERTA REAL RESIDENCIAL X
PUERTA REAL RESIDENCIAL XX ETAPA,PUERTA REAL RESIDENCIAL 8A ETAPA
PUERTA REAL SECCION DIAMANTE,PUERTA REAL SECCION DIAMANTE
PUERTA REAL VI,PUERTA REAL VI
PUERTA REAL VIII,PUERTA REAL VIII
PUERTA REAL XVIII,PUERTA REAL XVIII
PUESTA DEL SOL,PUESTA DEL SOL
PUNTA BELLA,PUNTA BELLA
PUNTA DEL LAGO,PUNTA DEL LAGO
PV.ARAGON,PV.ARAGON
QUINTA EMILIA,QUINTA EMILIA
QUINTA ESMELRALDA,QUINTA ESMERALDA
QUINTA ESMERAL,QUINTA ESMERALDA
QUINTA ESMERALDA,QUINTA ESMERALDA
QUINTA ESMERALDA|,QUINTA ESMERALDA
QUINTA ESPERALDA,QUINTA ESPERALDA
QUINTA LA PALOMA,QUINTA LA PALOMA
QUINTA REAL,QUINTA REAL
QUINTAS DEL SOL RESIDENCIAL,QUINTAS DEL SOL RESIDENCIAL
QUINTAS DEL SOL RESIDENCIAL ETAPA VII,QUINTAS DEL SOL RESIDENCIAL ETAPA VII
QUINTAS DEL SUR,QUINTAS DEL SUR
QUINTAS RESIDENCIAL,QUINTAS RESIDENCIAL
QUNTA ESMERALDA,QUNTA ESMERALDA
RACQUET CLUB II,RACQUET CLUB II
"RACQUET CLUB II, SECC. NORTE","RACQUET CLUB II, SECC. NORTE"
RAL DEL CARMEN,REAL DEL CARMEN
RAMON CORRAL,RAMON CORRAL
RANCHITO,RANCHITO
RANCHO BONIT,RANCHO BONITO
RANCHO BONITO,RANCHO BONITO
RANCHO GRANDE,RANCHO GRANDE
RANCHO GRANDE ALTARES,RANCHO GRANDE ALTARES
RANCHO LAS COCHERAS,RANCHO LAS COCHERAS
RANCHO SAN IGNACIO,RANCHO SAN IGNACIO
RAQUET CLUB,RAQUET CLUB
REAL CARMEN,REAL CARMEN
REAL DE 14,REAL DE 14
REAL DE CASTILA,REAL DE CASTILLA
REAL DE CASTILLA,REAL DE CASTILLA
REAL DE COBRE,REAL DEL COBRE
REAL DE MA MARQUEZA,REAL DE MA MARQUEZA
REAL DE MINAS,REAL DE MINAS
REAL DE MONTEJO,REAL DE MONTEJO
REAL DE QUIROGA,REAL DE QUIROGA
REAL DE SEVILLA,REAL DE SEVILLA
REAL DE TOLEDO,REAL DE TOLEDO
